inr;iso;nam;plz;ort;gemeindekennzahl;sbi;isil;tvw;tel;fax;ema;url;opa;text;oef;typ_text;utr_text;gro_text;leitung
EX801;DEU;Ostbayerische Technische Hochschule Amberg-Weiden ;Kaiser-Wilhelm-Ring 23;Amberg/Oberpfalz;93610000000;1046;DE-1046;-9621;4 82-3215;(09621) 4 82-4229;bibam@oth-aw.de, bibwen@oth-aw.de;http://bibliothek.oth-aw.de;www.oth-aw.de/opac;aktiv;Mo-Do: 8 - 18 h, Fr: 8-14 h, 24/7 für Hochschulangehörige;Fach-/Hochschulbibliothek;Land;30.001 - 100.000;nebenamtlich
EX813;NULL;Domstiftarchiv und -bibliothek Brandenburg;Kirchpl. 5;Perleberg;120700296296;NULL;NULL;-3876;26 32;NULL;NULL;NULL;NULL;aufgegangen/übernommen;NULL;NULL;Ev. Kirche;1.001 - 2.000;nebenamtlich
EX825;NULL;Hochschule Trier. Umwelt-Campus Birkenfeld. Bibliothek;Gebäude 9922 (ZN), Campusallee;Hoppstädten-Weiersbach;71345002042;1042;DE-1042;-6782;17 14 77;(06782) 17 14 78;bibliothek@umwelt-campus.de;http://bibliothek.umwelt-campus.de;http://ebib.umwelt-campus.de/;aktiv;NULL;Fach-/Hochschulbibliothek;Land;30.001 - 100.000;nebenamtlich
EX837;NULL;Stadtgeschichtlisches Institut. Bibliothek;Otto-Stemmler-Str. 6;Bühl;82165002007;Bü 1;NULL;-7223;94 08 76;(07223) 94 08 777;stgi-buehl@t-online.de;NULL;NULL;NULL;NULL;NULL;Körperschaft/Stiftung des öff. Rechts;bis 1.000;nebenamtlich
EX849;NULL;Bibliothek Adveniat;Am Porschepl. 7;Essen;51130000000;E 14;NULL;-201;17 56-204;(0201) 17 56-111;hubert.frank@adveniat.de;http://www.adveniat.de/;NULL;NULL;NULL;NULL;Kath. Kirche;bis 1.000;nebenamtlich
EX850;NULL;Hochschule für Kirchenmusik der Ev. Landeskirche in Württemberg (HKM). Hochschulbibliothek;Gartenstr. 12;Tübingen;84160041041;Ess 3;NULL;-7071;92 59 97;(07071) 92 59 98;info@kirchenmusikhochschule.de;www.kirchenmusikhochschule.de;http://alephino-sonb-opac.elk-wue.de/.Aleph;aktiv;NULL;Fach-/Hochschulbibliothek;Ev. Kirche;NULL;nebenamtlich
EX862;DEU;Adelhausermuseum. Natur- und Völkerkunde. Bibliothek;Gerberau 32;Freiburg/Breisgau;83110000000;Frei 134z;NULL;-761;2 01-2551;(0761) 2 01-2563;NULL;NULL;NULL;NULL;Mo-Fr 9.00-13.00;NULL;Sonstige öffentliche Trägerschaft;5.001 - 10.000;nebenamtlich
EX874;NULL;Fachhochschule Westküste. Hochschule für Wirtschaft und Technik. Hochschulbibliothek;Fritz-Thiedemann-Ring 20;Heide;10510044044;1041;DE-1041;-481;85 55-200;(0481) 85 55-201;bibliothek@fh-westkueste.de;http://www.fh-westkueste.de;;aktiv;NULL;Fach-/Hochschulbibliothek;Land;10.001 - 30.000;nebenamtlich
EX898;NULL;Niedersächsisches Landesamt für Ökologie. Bibliothek;An der Scharlake 39;Hildesheim;32540021021;Hil 4;NULL;-5121;509-270;509-233;nloebib@t-online.de;http://www.nloe.de;http://opc4.tib.uni-hannover.de:8080/DB=9.10/LNG=DU/;NULL;Mo - Fr 9 - 12. Mo - Don 13.30 - 15.30 Uhr;NULL;Land;30.001 - 100.000;nebenamtlich
EX904;NULL;Alte Pfarrbibliothek;Bachemer Str. 24;Hürth;53620028028;Hür 1;NULL;-2233;93 32 06;(02233) 93 32 07;NULL;NULL;NULL;NULL;NULL;NULL;Kath. Kirche;bis 1.000;nebenamtlich
EX916;NULL;Hochschule Holzen e.V. Hochschulbibliothek;Kirchstr. 8;Kandern;83365001045;Kan 1;NULL;-7626;91 58 12;(07626) 91 58 23;bibliothek@hsh-holzen.de;http://www.hsh-holzen.de;NULL;geschlossen/aufgelöst;Mo 14.00-19.00Di-Do 14.00-17.00;Fach-/Hochschulbibliothek;Körperschaft/Stiftung des priv. Rechts;3.001 - 5.000;nebenamtlich
EX941;NULL;Brahms-Institut an der Musikhochschule Lübeck. Bibliothek;Königstr. 42;Lübeck;10030000000;Lü 20;NULL;-451;70 68 33;(0451) 70 68 33;BRAHMS-INSTITUT@MH-LUEBECK.DE;http://www.MH-LUEBECK.DE;;NULL;NULL;NULL;Land;bis 1.000;nebenamtlich
EX953;DEU;Bibliothek der Dualen Hochschule Baden-Württemberg Ravensburg;Rudolfstraße 19;Ravensburg;84365005064;Rav 1;DE-Rav1;-751;18999-2715  und  18999-2105;(0751) 18999-2706;biblio@dhbw-ravensburg.de;http://www.dhbw--ravensburg.de/bibliothek-rv.html;NULL;nur Adresse erfasst;Mo- Do  8.00-21.00 Uhr / Fr. 8.00-18.00 Uhr/ Sa 9.00-13.00 Uhr;NULL;Land;30.001 - 100.000;nebenamtlich
EX965;DEU;Hochschule Bonn-Rhein-Sieg, Hochschul- und Kreisbibliothek Bonn-Rhein-Sieg;Grantham-Allee 20;St. Augustin;53820056056;1044;DE-1044;-2241;865-681;(02241) 865-8681;armin.ehrhardt@h-brs.de, joachim.linden@h-brs.de ;http://www.bib.h-brs.de;http://www.bib.h-brs.de/katalog.html;aktiv;Mo-Fr 8.00-23.00;Fach-/Hochschulbibliothek;Land;100.001 - 300.000;nebenamtlich
EX977;DEU;Internationale Bachakademie Stuttgart. Bibliothek;Johann-Sebastian-Bach-Platz;Stuttgart;81110000000;Stg 261;NULL;-711;6 19 21-27;(0711) 6 19 21-30;office@bachakademie.de;NULL;NULL;NULL;NULL;NULL;Körperschaft/Stiftung des öff. Rechts;5.001 - 10.000;nebenamtlich
EX989;NULL;Staatliche Hochschule für Musik Trossingen. Hochschulbibliothek;Schultheiß-Koch-Pl. 3;Trossingen;83275005049;Trs 1;NULL;-7425;94 91-33;(07425) 94 91-48;deblon@mh-trossingen.de;www.mh-trossingen.de;NULL;aktiv;Mo 15.00-20.00. Di-Do 10.00-12.00 u. 14.00-17.00. Fr 10.00-12.00;Fach-/Hochschulbibliothek;Land;30.001 - 100.000;nebenamtlich
EX990;NULL;Schwäbisch Hall. Bibliothek für Wohnungsbau. Wohnungswirtschaft. Vermögensbildung;Crailsheimer Str. 52;Schwäbisch Hall;81275009076;Hl 2;DE-Hl2;-791;46-5578;(0791) 46-5532;bibliothek@schwaebisch-hall.de;www.bsz-bw.de;NULL;NULL;NULL;NULL;Körperschaft/Stiftung des priv. Rechts;10.001 - 30.000;nebenamtlich
EY003;DEU;Max-Planck-Institut für Gravitationsphysik. Albert-Einstein-Institut. Wissenschaftliche Bibliothek;Am Mühlenberg 1;Potsdam/Golm;120540000000;Po 62;NULL;-331;5 67 74 00 und 5 67 74 01;(0331) 5 67 74 99;bibl@aei-potsdam.mpg.de;http://www.aei-potsdam.mpg.de;http://www.aei.mpg.de/facilities/public/library/index.html;NULL;NULL;NULL;Körperschaft/Stiftung des öff. Rechts;5.001 - 10.000;nebenamtlich
EY015;NULL;Forschungsinstitut für Optik. Bibliothek;Schloß Kressbach;Tübingen;84160041041;Tü 132;NULL;-7071;70 91 22;(07071) 70 92 70;NULL;NULL;NULL;NULL;NULL;NULL;Körperschaft/Stiftung des öff. Rechts;3.001 - 5.000;nebenamtlich
EY039;DEU;Umweltzentrum. Bibliothek;Kronenstr. 4;Tübingen;84160041041;Tü 130;NULL;-7071;5 10 11;NULL;umweltzentrum-tuebingen@t-online.de;http://www.umweltzentrum-tuebingen.de/;NULL;NULL;NULL;NULL;Körperschaft/Stiftung des öff. Rechts;bis 1.000;nebenamtlich
EY040;NULL;Museumsgesellschaft Tübingen e.V.. Bibliothek;Wilhelmstr. 3;Tübingen;84160041041;Tü 129;NULL;-7071;2 28 76;(07071) 2 28 76;NULL;NULL;NULL;NULL;NULL;NULL;Körperschaft/Stiftung des priv. Rechts;2.001 - 3.000;nebenamtlich
EY052;NULL;Staatliches Seminar für Schulpädagogik (Gymnasien). Bibliothek;Nauklerstr. 35;Tübingen;84160041041;Tü 128;NULL;-7071;56 08 30;(07071) 56 08 88;NULL;http://www.uni-tuebingen.de/uni/yxs01;;NULL;NULL;NULL;Körperschaft/Stiftung des öff. Rechts;bis 1.000;nebenamtlich
EY064;NULL;Hölderlin-Gesellschaft. Bibliothek;Bursagasse 6;Tübingen;84160041041;Tü 127;NULL;-7071;2 20 40;(07071) 2 29 48;info@hoelderlin-gesellschaft.de;http://www.hoelderlin-online.de/;;NULL;NULL;NULL;Körperschaft/Stiftung des priv. Rechts;bis 1.000;nebenamtlich
EY076;NULL;Institut für Donauschwäbische Geschichte und Landeskunde. Bibliothek;Mohlstr. 18;Tübingen;84160041041;Tü 126;NULL;-7071;2 00-2514;(07071) 2 00-2535;sekretariat@idgl.oe.uni-tuebingen.de;http://www.idglbw.de;;NULL;NULL;NULL;Körperschaft/Stiftung des öff. Rechts;10.001 - 30.000;nebenamtlich
EY088;NULL;Stadtarchiv Rottenburg. Bibliothek;Obere Gasse 12;Rottenburg/Neckar;84165003036;Rot 3;NULL;-7472;1 65-351;(07472) 1 65-392;archiv@rottenburg.de;www.rottenburg.de;NULL;aktiv;Di-Fr 8-12, Di, Mi 14-16.30, Do 14-18 Uhr;NULL;Körperschaft/Stiftung des öff. Rechts;5.001 - 10.000;nebenamtlich
EY106;DEU;Landesstelle für Museumsbetreuung Baden-Württemberg. Bibliothek;Schloßstr. 96;Stuttgart;81110000000;Stg 263;NULL;-711;62 64 99;(0711) 6 15 96 06;lmb@landesstelle.de;www.landesstelle.de;NULL;NULL;NULL;NULL;Körperschaft/Stiftung des öff. Rechts;3.001 - 5.000;nebenamtlich
EY118;NULL;Geistliches Rüstzentrum Krelingen der Ahldener Brüderschaft e.V.. Bibliothek;Krelingen 37;Walsrode;33580022022;Wro 1;DE-Wro1;-5167;9 70-0;(05167) 9 70-160;studienzentrum@grz-krelingen.de;www.Krelinger-studienzentrum.de;;NULL;NULL;NULL;Sonstige Religionsgemeinschaften;bis 1.000;nebenamtlich
EY131;DEU;Staatliche Lehr- und Versuchsanstalt für Wein und Obstbau. Bibliothek;Traubenpl. 5;Weinsberg;81255014102;NULL;NULL;-7134;5 04-38;(07134) 5 04-33;NULL;NULL;NULL;NULL;NULL;NULL;Land;10.001 - 30.000;nebenamtlich
EY143;NULL;Stadtarchiv Göppingen;Schloßstr. 14 (Alter Kasten);Göppingen;81175005026;Göp 3;NULL;-7161;9 79-522;(07161) 9 79-521;stadtarchiv@goeppingen.de;NULL;NULL;NULL;NULL;NULL;Kommune/Gemeinde;bis 1.000;nebenamtlich
EY374;NULL;Stadtarchiv / Museum Eschborn;Eschenpl. 1;Eschborn;64360003003;Esb 1;NULL;-6196;49 02 32 und 484670;(06196) 48 46 71;info@eschborn.de;NULL;NULL;NULL;NULL;NULL;Kommune/Gemeinde;bis 1.000;nebenamtlich
EY441;NULL;Technische Universität Chemnitz. Teilbibliothek Wirtschafts- und Rechtswissenschaften;Reichenhainer Str. 39/41;Chemnitz;145110000000;Ch 1/S18;NULL;-371;5 31-4297;(0371) 5 31-4324;tbwr@bibliothek.tu-chemnitz.de;http://www.bibliothek.tu-chemnitz.de/ser.html#S18 und http://www.bibliothek.tu-chemnitz.de/index.html;;NULL;NULL;NULL;Land;30.001 - 100.000;nebenamtlich
EY453;NULL;Technische Universität Chemnitz. Teilbibliothek Natur- und Ingenieurwissenschaften;Reichenhainer Str. 70 (Neues Sektionsgebäude);Chemnitz;145110000000;Ch 1/S4;NULL;-371;5 31-3444. 2319 und 2429;(0371) 5 31-3751;ausls4@bibliothek.tu-chemnitz.de;http://www.bibliothek.tu-chemnitz.de/ser.html#S4 und http://www.bibliothek.tu-chemnitz.de/index.html;;NULL;NULL;NULL;Land;100.001 - 300.000;nebenamtlich
EY465;NULL;Technische Universität Chemnitz. Universitätsbibliothek. Forschungsbibliothek Chemie;Straße der Nationen 62;Chemnitz;145110000000;Ch 1/S5a;NULL;-371;5 31 13 07;NULL;bibliothek@chemie.tu-chemnitz.de;http://www.bibliothek.tu-chemnitz.de/ser.html#Chemie;;geschlossen/aufgelöst;NULL;NULL;Land;bis 1.000;nebenamtlich
EY611;NULL;Humboldt-Universität zu Berlin. Universitätsbibliothek. Zweigbibliothek Asien- und Afrikawissenschaften. Teilbibliothek Japanologie. Zentrum für Sprache und Kultur Japans;Johannisstr. 10;Berlin;110000000000;NULL;NULL;-30;28 39 77-35;(030) 28 39 77-19;NULL;NULL;NULL;NULL;NULL;NULL;Land;10.001 - 30.000;nebenamtlich
EY623;NULL;Institut für Prozeß- und Produktionsleittechnik. Bibliothek;Julius-Albert-Str. 6 (Tannenhöhe);Clausthal-Zellerfeld;31535402004;104/48;NULL;-5323;9 53-500;(05323) 9 53-599;elzer@ipp.tu-clausthal.de;NULL;NULL;NULL;NULL;NULL;Land;bis 1.000;nebenamtlich
EY647;NULL;Universitätsbibliothek. Zweigstelle Geographie;Johannisallee 19;Leipzig;147130000000;NULL;NULL;-341;9 73 85 86;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Land;bis 1.000;nebenamtlich
EY660;NULL;Fachhochschule Trier. Standort Idar-Oberstein. Bibliothek;Vollmersbach Str. 53;Idar-Oberstein;71340045045;NULL;NULL;-6781;94 63 20;(06781) 94 63 63;Kammann@fh-trier.de;http://www.fh-trier.de/go/bibliothek;NULL;NULL;NULL;NULL;Land;3.001 - 5.000;nebenamtlich
EY672;NULL;Fachhochschule des Bundes für öffentliche Verwaltung. Fachbereich landwirtschaftliche Sozialversicherung. Bibliothek;Weißensteinstr. 70/72;Kassel;66110000000;NULL;NULL;-561;93 59-320;(0561) 93 59-328;NULL;NULL;NULL;NULL;NULL;NULL;Staat (Bund od. Republik);1.001 - 2.000;nebenamtlich
EY696;DEU;Berufsakademie Stuttgart. Bibliothek Technik;Jägerstr. 56;Stuttgart;81110000000;NULL;NULL;-711;18 49-694;(0711) 18 49-719;info@ba-stuttgart.de elzmann@ba-stuttgart.de;www.ba-stuttgart.de;NULL;aufgegangen/übernommen;NULL;NULL;Land;5.001 - 10.000;nebenamtlich
EY738;DEU;Bayerisches Landesamt für Umweltschutz. Bibliothek;Bürgermeister-Ulrich-Str. 160;Augsburg;97610000000;NULL;NULL;-821;90 71-5076;(0821) 90 71-5627;bibliothek@lfu.bayern.de;http://www_opac.bib-bvb.de;NULL;NULL;Mo-Do 8.30-15.00. Fr 8.00-12.00;NULL;Land;10.001 - 30.000;nebenamtlich
EY751;NULL;Max-Planck-Institut für Chemische Physik fester Stoffe. Bibliothek;Nöthnitzer Str. 40;Dresden;146120000000;D 210;NULL;-351;4 6 46-3607;(0351) 46 46-10;wanschur@cpfs.mpg.de;http://www.cpfs.mpg.de;;NULL;8:00 - 16:30 Uhr;NULL;Körperschaft/Stiftung des öff. Rechts;30.001 - 100.000;nebenamtlich
EY763;NULL;Handelshochschule Leipzig (HHL). Hochschulbibliothek;Jahnallee 59;Leipzig;147130000000;550;DE-550;-341;98 51-643;(0341) 98 51-645;lieb@hhl.de;http://www.hhl.de;http://opac.hhl.de;aktiv;NULL;Fach-/Hochschulbibliothek;Land;5.001 - 10.000;nebenamtlich
EY775;DEU;Deutsches Filmmuseum. Bibliothek;Schaumainkai 41;Frankfurt/Main;64120000000;207 a;NULL;-69;21 23 88 41 und 21 23 88 42;(069) 21 23 78 81;bibliothek@deutsches-filmmuseum.de;www.deutsches-filmmuseum.de;NULL;NULL;Di. Do. Fr 13.00-17.00. Mi 10.00-19.00;NULL;Kommune/Gemeinde;30.001 - 100.000;nebenamtlich
EY787;NULL;Forschungsstelle Osteuropa an der Universität Bremen. Bibliothek / Archiv;Klagenfurter Str. 3 (Osteuropa-Gebäude);Bremen;40110000000;Bre 12;NULL;-421;2 18-2066 und 7467;(0421) 2 18-3269;NULL;NULL;NULL;NULL;NULL;NULL;Körperschaft/Stiftung des priv. Rechts;30.001 - 100.000;nebenamtlich
EY866;DEU;Kultusministerium des Landes Mecklenburg-Vorpommern. Zentralbibliothek;Werder Str. 124 (Marstall);Schwerin;130040000000;NULL;NULL;-385;5 88-0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Land;bis 1.000;nebenamtlich
EY878;NULL;Sächsische Landesbibliothek - Staats- und Universitätsbibliothek Dresden. Zweigbibliothek Maschinenwesen. Teilbibliothek Lebensmittel- und Bioverfahrenstechnik / Land- und Verarbeitungsmaschinen;Bergstr. 120;Dresden;146120000000;88/15/16;NULL;-351;4 63-3651;NULL;awalther@slub-dresden.de;http://www.tu-dresden.de/slub/fach4ma.html;NULL;NULL;NULL;NULL;Land;10.001 - 30.000;nebenamtlich
EY908;NULL;Sächsische Landesbibliothek - Staats- und Universitätsbibliothek Dresden. Zweigbibliothek Maschinenwesen. Teilbibliothek Textil- und Bekleidungstechnik;Hohe Str. 6;Dresden;146120000000;88/15TBT;NULL;-351;46 58-360;NULL;kpietsch@slub-dresden.de;http://www.tu-dresden.de/slub/fach4ma.html;NULL;NULL;NULL;NULL;Land;5.001 - 10.000;nebenamtlich
EY921;NULL;Fachhochschule Münster. Bereichsbibliothek FHZ (Architektur. Bauingenieurwesen. Wirtschaft. Pflege);Corrensstr. 25;Münster;55150000000;NULL;NULL;-251;83-64858;NULL;bibliothek@fh-muenster.de;http://www.fh-muenster.de/BIBL/;NULL;NULL;Mo-Do 8.00-19.00. Fr 8.00-17.00;NULL;Land;30.001 - 100.000;nebenamtlich
EY933;NULL;Fachhochschule Münster. Bereichsbibliothek Design;Sentmaringer Weg 58;Münster;55150000000;NULL;NULL;-251;83-64865;NULL;bibliothek@fh-muenster.de;http://www.fh-muenster.de/BIBL/;NULL;NULL;Mo-Mi 9.00-16.00. Do 9.00-18.00. Fr 9.00-16.00 (im Semester). Mo 9.00-16.00. Di-Do 9.00-13.00 (in den Semesterferien);NULL;Land;10.001 - 30.000;nebenamtlich
EY945;NULL;Fachhochschule Münster. Bereichsbibliothek Oecotrophologie;Josefstr. 2;Münster;55150000000;NULL;NULL;-251;83-64869;NULL;bibliothek@fh-muenster.de;http://www.fh-muenster.de/BIBL;NULL;NULL;Mo-Do 9.00-18.00. Fr 9.00-16.00 (im Semester). Mo-Mi 9.00-13.00. Do 9.00-16.00 (in den Semesterferien);NULL;Land;10.001 - 30.000;nebenamtlich
EY957;NULL;Fachhochschule Münster. Bereichsbibliothek Hüfferstift (Fachbereich Sozialwesen);Hüfferstr. 27;Münster;55150000000;NULL;NULL;-251;83-64851;83-64852;bibliothek@fh-muenster.de;http://www.fh-muenster.de/BIBL;NULL;NULL;Mo-Do: 9.00-18.00Uhr. Fr: 9.00-16.00Uhr;NULL;Land;10.001 - 30.000;nebenamtlich
EY969;DEU;Frauenbibliothek Saar;Bleichstr. 4;Saarbrücken;100410100100;Sa 24;DE-Sa24;-681;9 38 80 23;(0681) 93 88 025;info@frauenbibliothek-saar.de;http://www.frauenbibliothek-saar.de/;NULL;aktiv;Dienstag 10 - 17 Uhr,Mittwoch 10 - 13 Uhr, Donnerstag 14 - 18 Uhr ,Freitag 10 - 13 Uhr;NULL;Kommune/Gemeinde;5.001 - 10.000;nebenamtlich
FR662;NULL;Stadtbücherei Friedrichsthal;Schmidtbornstraße 12a;Friedrichsthal;100410511511;NULL;NULL;6897;8568106;06897-8568155;NULL;NULL;NULL;aktiv;NULL;NULL;Kommune/Gemeinde;5.001 - 10.000;nebenamtlich
EY970;NULL;Arachne-Feministisches Archiv und Bücherei;Dorotheenstr. 20;Bonn;53140000000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Körperschaft/Stiftung des priv. Rechts;bis 1.000;nebenamtlich
EY982;DEU;Stiftung Historische Museen Hamburg, Bibliothek im Museum der Arbeit;Wiesendamm 3;Hamburg;20000000000;H 353;NULL;-40;4 28 133- 205;(040) 4 28 133-330;bibliothek@museum-der-arbeit.de;http://www.museum-der-arbeit.de;http://lhpica2.rrz.uni-hamburg.de:8080/DB=3.3/LNG=DU/;aktiv;Mo-Do: 8.30-12.30. 13.00-16.00;NULL;Körperschaft/Stiftung des öff. Rechts;10.001 - 30.000;nebenamtlich
EZ020;DEU;Fachhochschule Ansbach. Hochschulbibliothek;Residenzstr. 8;Ansbach;95610000000;1102;DE-1102;-981;48 77-430;(0981) 48 77-439;bibliothek@fh-ansbach.de;www.fh-ansbach.de;http://fhbx3.bib-bvb.de/webOPAC.fansis/welcomeDe.html;aktiv;NULL;Fach-/Hochschulbibliothek;Land;30.001 - 100.000;nebenamtlich
EZ135;NULL;Universitätsbibliothek. Zweigbibliothek im Chemikum / Biowissenschaften;Heinrich-Buff-Ring 58;Gießen;65310005005;26/002;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Land;bis 1.000;nebenamtlich
EZ172;NULL;Hochschule für Technik und Wirtschaft des Saarlandes. Bibliothek / Bereich Waldhausweg;Waldhausweg 14;Saarbrücken;100410100100;Sa 16/1;NULL;-681;58 67-538;(0681) 58 67-507;zbib@htw-saarland.de;http://www.htw-saarland.de/service/bibliothek/;;nur Adresse erfasst;NULL;NULL;Land;30.001 - 100.000;nebenamtlich
EZ184;NULL;Industrie- und Handelskammer. Bibliothek;Puschkinstr. 12 b;Frankfurt/Oder;120530000000;Fr 11;NULL;-335;56 21-0 und 119;(0335) 56 21-254;quenzel@ihk-ffo.de;http://www.ihk.de/ffo;;NULL;NULL;NULL;Körperschaft/Stiftung des öff. Rechts;1.001 - 2.000;nebenamtlich
EZ196;DEU;Industrie- und Filmmuseum (ifm). Bibliothek;Bunsenstr. (Gebäude 0112);Bitterfeld-Wolfen;150820015015;Wol 5;NULL;-3494;63 64 46;(03494) 63 64 46;ifm-wolfen@gmx.de;http://www.ifm-wolfen.de;NULL;NULL;NULL;NULL;Körperschaft/Stiftung des öff. Rechts;bis 1.000;nebenamtlich
EZ202;NULL;Forschungs- und Gedenkstätte Heinrich-Schütz Haus. Bibliothek;Heinrich-Schütz-Str. 1;Bad Köstritz;160765051003;562;NULL;-36605;36-198;(036605) 36-199;Heinrich-Schuetz-Haus@t-online.de;www.thueringen.de/Heinrich-Schuetz-Haus;;NULL;NULL;NULL;Körperschaft/Stiftung des öff. Rechts;bis 1.000;nebenamtlich
EZ214;NULL;Ministerium für Stadtentwicklung. Wohnen und Verkehr des Landes Brandenburg. Bibliothek;Henning-von-Tresckow-Str. 2/8;Potsdam;120540000000;NULL;NULL;-331;8 66 80 77;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Land;bis 1.000;nebenamtlich
EZ226;NULL;Max-Planck-Institut für Dynamik Komplexer Technischer Systeme. Bibliothek;Sandtorstr. 1;Magdeburg;150030000000;Ma 54;NULL;-391;6110-146;-537;library@mpi-magdeburg.mpg.de;http://www.mpi-magdeburg.mpg.de;NULL;aktiv;Mo-Fr 9.00-16.00;NULL;Körperschaft/Stiftung des öff. Rechts;5.001 - 10.000;nebenamtlich
EZ238;NULL;Max-Planck-Institut für Chemische Ökologie und Max-Planck-Institut für Biogeochemie. wissenschaftliche Bibliothek;Tatzendpromenade 1 a;Jena;160530000000;J 126;DE-J126;-3641;64 36 21;(03641) 64 36 68;Krause@ice.mpg.de;www.mpg.de;http://aleph.mpg.de/ALEPH/-/start/JCB01-eng;NULL;NULL;NULL;Körperschaft/Stiftung des öff. Rechts;bis 1.000;nebenamtlich
EZ251;NULL;Hochschule für Musik und Theater Rostock. Bibliothek;Beim St.-Katharinenstift 8;Rostock;130030000000;563;NULL;-381;5108-250;(0381) 5108-101;bibliothek@hmt-rostock.de;www.hmt-rostock.de/einricht/e_bibo.hmt;http://www.uni-rostock.de/ub;aktiv;Im Semester: Mo-Do 10.00-13.00, 14-16.30, Fr 10.00-13.00;Fach-/Hochschulbibliothek;Land;30.001 - 100.000;nebenamtlich
EZ263;NULL;Fachhochschule Nordhausen. Hochschulbibliothek;Weinberghof 4;Nordhausen;160620041041;564;DE-564;-3631;420-180;(03631) 4 20-815;bibliothek@fh-nordhausen.de;http://www.fh-nordhausen.de/zentrale_einrichtungen/f_bibo.html;NULL;aktiv;NULL;Fach-/Hochschulbibliothek;Land;30.001 - 100.000;nebenamtlich
EZ275;DEU;Berufsakademie Thüringen. Staatliche Studienakademie. Studienabteilung Gera. Bibliothek;Berliner Str. 155;Gera;160520000000;Ga 20;NULL;-365;4 34 11 55;(0365) 4 34 11 59;Andrea.Gloeckner@ba-gera.de;NULL;NULL;NULL;NULL;NULL;Land;2.001 - 3.000;nebenamtlich
EZ287;DEU;Berufsakademie Thüringen. Staatliche Studienakademie. Studienabteilung Eisenach. Bibliothek;Am Wartenberg 2;Eisenach;160560000000;Ei 6;NULL;-3691;62 94 72;(03691) 62 94 79;ba-eisenach@gmx.de;http://www.ba-eisenach.de;NULL;NULL;NULL;NULL;Land;bis 1.000;nebenamtlich
EZ299;NULL;Thüringer Oberlandesgericht. Bibliothek;Leutragraben 2/4;Jena;160530000000;J 153;NULL;-3641;3 07-309;(03641) 3 07-200;poststelle@tholg.thueringen.de;www.thueringen.de/olg;http://jenopc4.thulb.uni-jena.de:8080/DB=3.2/LNG=DU/;NULL;NULL;NULL;Land;bis 1.000;nebenamtlich
EZ317;NULL;Fachhochschule Nürtingen. Außenstelle Geislingen. Hochschulbibliothek;Bahnhofstr. 62;Geislingen an der Steige;81175004024;1090;NULL;-7331;22-481;(07331) 22-500;bibliothek@asg.fh-nuertingen.de;http://www.fh-nuertingen.de/bibliothek/index.shtml;;NULL;NULL;NULL;Land;bis 1.000;nebenamtlich
EZ354;NULL;R+V Versicherung AG. Abteilung Konzern-Kommunikation. Bibliothek;Taunusstr. 1;Wiesbaden;64140000000;NULL;NULL;-611;5 33-4701;(0611) 5 33-6211;Marzia.EICKMANN@RUV.DE;NULL;NULL;NULL;NULL;NULL;Private Trägerschaft;10.001 - 30.000;nebenamtlich
EZ391;NULL;Stockhausen GmbH & Co. KG. Bibliothek;Bäkerpfad 25;Krefeld;51140000000;NULL;NULL;-2151;38-1327;(02151) 38-1806;mail.stockhausen@degussa.com;www.stockhausen.com;NULL;NULL;NULL;NULL;Körperschaft/Stiftung des priv. Rechts;bis 1.000;nebenamtlich
EZ408;NULL;Bensdorfer Lesestube;Schulplatz 11;Bensdorf;120695917028;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;aktiv;Di 16:00 - 18:00, Do 16:00 - 18:00;NULL;Kommune/Gemeinde;bis 1.000;neben-/ehrenamtlich
EZ792;DEU;Zentralklinik Bad Berka GmbH. Medizinische Fachbibliothek;Robert-Koch-Allee 9;Bad Berka;160710003003;Wim 11;DE-Wim11;-36458;5 33 20;(036458) 4 21 80;r.binder.bib@zentralklinik-bad-berka.de;http://www.zentralklinik-bad-berka.de;NULL;NULL;Mo + Fr  <7.30-16.00 Uhr> . Di. Mi. Do  <7.30 - 19.00 Uhr>;NULL;Körperschaft/Stiftung des priv. Rechts;10.001 - 30.000;nebenamtlich
EZ810;DEU;Südharz-Krankenhaus gGmbH. Medizinische Fachbibliothek;Dr.-Robert-Koch-Str. 39;Nordhausen;160620041041;No 6;NULL;-3631;41-2216;(03631) 41-2218;biblio@shk-ndh.de;http://www.suedharzkrankenhaus.de;NULL;NULL;NULL;NULL;Körperschaft/Stiftung des priv. Rechts;5.001 - 10.000;nebenamtlich
EZ834;DEU;Altmärkisches Museum Stendal. Wissenschaftliche Bibliothek;Schadewachten 48;Stendal;150900535535;Ste 4;NULL;-3931;65 17 00;über (03931) 65 17 08;NULL;NULL;NULL;NULL;NULL;NULL;Kommune/Gemeinde;10.001 - 30.000;nebenamtlich
